title,runtime,parental_guide,genre,directors,stars,writers,person_id,gross_us_canada,film_id
Whiplash,1h 46m,R,"['Drama', 'Music']",['Damien Chazelle'],"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",['Damien Chazelle'],"{'directors': ['3227090'], 'stars': ['1886602', '0799777', '2552034'], 'writers': ['3227090']}","$13,092,000",2582802
The Prestige,2h 10m,PG-13,"['Drama', 'Mystery', 'Sci-Fi']",['Christopher Nolan'],"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']","['Jonathan Nolan', 'Christopher Nolan', 'Christopher Priest']","{'directors': ['0634240'], 'stars': ['0000288', '0413168', '0424060'], 'writers': ['0634300', '0634240', '1793993']}","$53,089,891",0482571
The Usual Suspects,1h 46m,R,"['Crime', 'Drama', 'Mystery']",['Bryan Singer'],"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']",['Christopher McQuarrie'],"{'directors': ['0001741'], 'stars': ['0000228', '0000321', '0001590'], 'writers': ['0003160']}","$23,341,568",0114814
Grave of the Fireflies,1h 29m,Not Rated,"['Animation', 'Drama', 'War']",['Isao Takahata'],"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi']","['Akiyuki Nosaka', 'Isao Takahata']","{'directors': ['0847223'], 'stars': ['0851302', '0794186', '0945312'], 'writers': ['0636435', '0847223']}","$516,962",0095327
Casablanca,1h 42m,PG,"['Drama', 'Romance', 'War']",['Michael Curtiz'],"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']","['Julius J. Epstein', 'Philip G. Epstein', 'Howard Koch']","{'directors': ['0002031'], 'stars': ['0000007', '0000006', '0002134'], 'writers': ['0258493', '0258525', '0462321']}","$4,219,709",0034583
Harakiri,2h 13m,Not Rated,"['Action', 'Drama', 'Mystery']",['Masaki Kobayashi'],"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita']","['Yasuhiko Takiguchi', 'Shinobu Hashimoto']","{'directors': ['0462030'], 'stars': ['0619938', '0410968', '0412615'], 'writers': ['0847668', '0368074']}",,0056058
The Intouchables,1h 52m,R,"['Biography', 'Comedy', 'Drama']","['Olivier Nakache', 'Éric Toledano']","['François Cluzet', 'Omar Sy', 'Anne Le Ny']","['Olivier Nakache', 'Éric Toledano', 'Philippe Pozzo di Borgo']","{'directors': ['0619923', '0865918'], 'stars': ['0167388', '1082477', '0494504'], 'writers': ['0619923', '0865918', '4778840']}","$10,198,820",1675434
Modern Times,1h 27m,G,"['Comedy', 'Drama', 'Romance']",['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']",['Charles Chaplin'],"{'directors': ['0000122'], 'stars': ['0000122', '0002104', '0074788'], 'writers': ['0000122']}","$163,577",0027977
Cinema Paradiso,2h 35m,PG,"['Drama', 'Romance']",['Giuseppe Tornatore'],"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili']","['Giuseppe Tornatore', 'Vanna Paoli']","{'directors': ['0868153'], 'stars': ['0634159', '0134073', '0041066'], 'writers': ['0868153', '0660031']}","$12,397,210",0095765
Once Upon a Time in the West,2h 45m,PG-13,['Western'],['Sergio Leone'],"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale']","['Sergio Donati', 'Sergio Leone', 'Dario Argento']","{'directors': ['0001466'], 'stars': ['0000020', '0000314', '0001012'], 'writers': ['0006872', '0001466', '0000783']}","$5,321,508",0064116
